"Time","Humidity - Lascar (high res)"
1621897200000,35.5
1621897500000,35.5
1621897800000,35.5
1621898100000,35.5
1621898400000,35.5
1621898700000,35.5
1621899000000,35.5
1621899300000,35.5
1621899600000,35.5
1621899900000,35.5
1621900200000,35.5
1621900500000,35.5
1621900800000,35.5
1621901100000,36
1621901400000,35.5
1621901700000,35.5
1621902000000,35.5
1621902300000,35.5
1621902600000,35.5
1621902900000,35.5
1621903200000,36
1621903500000,36
1621903800000,36
1621904100000,36
1621904400000,36
1621904700000,36
1621905000000,36
1621905300000,36
1621905600000,36
1621905900000,36
1621906200000,36
1621906500000,36
1621906800000,36
1621907100000,35.5
1621907400000,35.5
1621907700000,35.5
1621908000000,35.5
1621908300000,35.5
1621908600000,35.5
1621908900000,36
1621909200000,36
1621909500000,36
1621909800000,36
1621910100000,36
1621910400000,36
1621910700000,36
1621911000000,36
1621911300000,36
1621911600000,36
1621911900000,36
1621912200000,36
1621912500000,36
1621912800000,35.5
1621913100000,35.5
1621913400000,35.5
1621913700000,35.5
1621914000000,35.5
1621914300000,35.5
1621914600000,35.5
1621914900000,35.5
1621915200000,35.5
1621915500000,35.5
1621915800000,35.5
1621916100000,35.5
1621916400000,35.5
1621916700000,35.5
1621917000000,35.5
1621917300000,35.5
1621917600000,35.5
1621917900000,35.5
1621918200000,35.5
1621918500000,35.5
1621918800000,36
1621919100000,35.5
1621919400000,35.5
1621919700000,35.5
1621920000000,35.5
1621920300000,35.5
1621920600000,35.5
1621920900000,35.5
1621921200000,35.5
1621921500000,35.5
1621921800000,35.5
1621922100000,35.5
1621922400000,35.5
1621922700000,35.5
1621923000000,36
1621923300000,36
1621923600000,36
1621923900000,36
1621924200000,35.5
1621924500000,35.5
1621924800000,35.5
1621925100000,35.5
1621925400000,35.5
1621925700000,35.5
1621926000000,35.5
1621926300000,35.5
1621926600000,35.5
1621926900000,35.5
1621927200000,35.5
1621927500000,35.5
1621927800000,35.5
1621928100000,35.5
1621928400000,35.5
1621928700000,35.5
1621929000000,35.5
1621929300000,35.5
1621929600000,35.5
1621929900000,35.5
1621930200000,35.5
1621930500000,35.5
1621930800000,35.5
1621931100000,35.5
1621931400000,35.5
1621931700000,35.5
1621932000000,35.5
1621932300000,35.5
1621932600000,35.5
1621932900000,35.5
1621933200000,35.5
1621933500000,35.5
1621933800000,35.5
1621934100000,35.5
1621934400000,35.5
1621934700000,35.5
1621935000000,35.5
1621935300000,35.5
1621935600000,35.5
1621935900000,35.5
1621936200000,35.5
1621936500000,35.5
1621936800000,35.5
1621937100000,35.5
1621937400000,35.5
1621937700000,35.5
1621938000000,35.5
1621938300000,35.5
1621938600000,35.5
1621938900000,35.5
1621939200000,35.5
1621939500000,35.5
1621939800000,36.5
1621940100000,35.5
1621940400000,35.5
1621940700000,35.5
1621941000000,35.5
1621941300000,35.5
1621941600000,35.5
1621941900000,35.5
1621942200000,35.5
1621942500000,35.5
1621942800000,35.5
1621943100000,35.5
1621943400000,35.5
1621943700000,35.5
1621944000000,35.5
1621944300000,35.5
1621944600000,35.5
1621944900000,35.5
1621945200000,35.5
1621945500000,36
1621945800000,36
1621946100000,36
1621946400000,36
1621946700000,36
1621947000000,36
1621947300000,36
1621947600000,36
1621947900000,36
1621948200000,36
1621948500000,36
1621948800000,36
1621949100000,36
1621949400000,36
1621949700000,36
1621950000000,36
1621950300000,36
1621950600000,36
1621950900000,36
1621951200000,36
1621951500000,36
1621951800000,36
1621952100000,35.5
1621952400000,35.5
1621952700000,35.5
1621953000000,35.5
1621953300000,35.5
1621953600000,35.5
1621953900000,35.5
1621954200000,35.5
1621954500000,35.5
1621954800000,35.5
1621955100000,35.5
1621955400000,35.5
1621955700000,35.5
1621956000000,35.5
1621956300000,35.5
1621956600000,35.5
1621956900000,35.5
1621957200000,35.5
1621957500000,35.5
1621957800000,35.5
1621958100000,35.5
1621958400000,35.5
1621958700000,35.5
1621959000000,35.5
1621959300000,35.5
1621959600000,35.5
1621959900000,35.5
1621960200000,35.5
1621960500000,35.5
1621960800000,35.5
1621961100000,35.5
1621961400000,35.5
1621961700000,36
1621962000000,36
1621962300000,36
1621962600000,36
1621962900000,36
1621963200000,36
1621963500000,36
1621963800000,36
1621964100000,36
1621964400000,36
1621964700000,36
1621965000000,36
1621965300000,36
1621965600000,36
1621965900000,36
1621966200000,36
1621966500000,36
1621966800000,36
1621967100000,36
1621967400000,36
1621967700000,36
1621968000000,36
1621968300000,36.5
1621968600000,36.5
1621968900000,36.5
1621969200000,36.5
1621969500000,36.5
1621969800000,36.5
1621970100000,36.5
1621970400000,36.5
1621970700000,36.5
1621971000000,36.5
1621971300000,36.5
1621971600000,36.5
1621971900000,36.5
1621972200000,36.5
1621972500000,36.5
1621972800000,36.5
1621973100000,36.5
1621973400000,36.5
1621973700000,36.5
1621974000000,36.5
1621974300000,36.5
1621974600000,36.5
1621974900000,36.5
1621975200000,36.5
1621975500000,36.5
1621975800000,36.5
1621976100000,36.5
1621976400000,36.5
1621976700000,36.5
1621977000000,36.5
1621977300000,36.5
1621977600000,36.5
1621977900000,36.5
1621978200000,36.5
1621978500000,36.5
1621978800000,36.5
1621979100000,36.5
1621979400000,37
1621979700000,37
1621980000000,37
1621980300000,37
1621980600000,37
1621980900000,37
1621981200000,37
1621981500000,37
1621981800000,37
1621982100000,37
1621982400000,37
1621982700000,37
1621983000000,37
1621983300000,37
1621983600000,37
1621983900000,37
1621984200000,37
1621984500000,37
1621984800000,37
1621985100000,37
1621985400000,37
1621985700000,37
1621986000000,37
1621986300000,37
1621986600000,37
1621986900000,37
1621987200000,37
1621987500000,37
1621987800000,37
1621988100000,37
1621988400000,37
1621988700000,37
1621989000000,37
1621989300000,37
1621989600000,37
1621989900000,37
1621990200000,37
1621990500000,37
1621990800000,37
1621991100000,37
1621991400000,37
1621991700000,37
1621992000000,37
1621992300000,37
1621992600000,37
1621992900000,37
1621993200000,37
1621993500000,37
1621993800000,37
1621994100000,37
1621994400000,37
1621994700000,37
1621995000000,37
1621995300000,37
1621995600000,37
1621995900000,37
1621996200000,37
1621996500000,37
1621996800000,37
1621997100000,37
1621997400000,37
1621997700000,37
1621998000000,37
1621998300000,37
1621998600000,37
1621998900000,37
1621999200000,37
1621999500000,37
1621999800000,37
1622000100000,37
1622000400000,37
1622000700000,37
1622001000000,37
1622001300000,37
1622001600000,37
1622001900000,37
1622002200000,37
1622002500000,37
1622002800000,36.5
1622003100000,37
1622003400000,37
1622003700000,37
1622004000000,37
1622004300000,37
1622004600000,37
1622004900000,37
1622005200000,37
1622005500000,37
1622005800000,36.5
1622006100000,36.5
1622006400000,36.5
1622006700000,36.5
1622007000000,36.5
1622007300000,36.5
1622007600000,36.5
1622007900000,36.5
1622008200000,36.5
1622008500000,36.5
1622008800000,36.5
1622009100000,36.5
1622009400000,36.5
1622009700000,36.5
1622010000000,36.5
1622010300000,36.5
1622010600000,36.5
1622010900000,36.5
1622011200000,36.5
1622011500000,36.5
1622011800000,36.5
1622012100000,36.5
1622012400000,36.5
1622012700000,36.5
1622013000000,36.5
1622013300000,36.5
1622013600000,36.5
1622013900000,36.5
1622014200000,36.5
1622014500000,36.5
1622014800000,36.5
1622015100000,36.5
1622015400000,36.5
1622015700000,36.5
1622016000000,36.5
1622016300000,36.5
1622016600000,36.5
1622016900000,36.5
1622017200000,36.5
1622017500000,36.5
1622017800000,36.5
1622018100000,36.5
1622018400000,36.5
1622018700000,36.5
1622019000000,36.5
1622019300000,36.5
1622019600000,36.5
1622019900000,36.5
1622020200000,36.5
1622020500000,36.5
1622020800000,36.5
1622021100000,36.5
1622021400000,36.5
1622021700000,36.5
1622022000000,36.5
1622022300000,36.5
1622022600000,36.5
1622022900000,36.5
1622023200000,36.5
1622023500000,36.5
1622023800000,36.5
1622024100000,36.5
1622024400000,36.5
1622024700000,36.5
1622025000000,36.5
1622025300000,36.5
1622025600000,36.5
1622025900000,36.5
1622026200000,36.5
1622026500000,36.5
1622026800000,36.5
1622027100000,36.5
1622027400000,36.5
1622027700000,36.5
1622028000000,36.5
1622028300000,36.5
1622028600000,36.5
1622028900000,36.5
1622029200000,36.5
1622029500000,36.5
1622029800000,36.5
1622030100000,36.5
1622030400000,36.5
1622030700000,36.5
1622031000000,36.5
1622031300000,36
1622031600000,36
1622031900000,36
1622032200000,36
1622032500000,36
1622032800000,36
1622033100000,36
1622033400000,36
1622033700000,36.5
1622034000000,36.5
1622034300000,36.5
1622034600000,36.5
1622034900000,36
1622035200000,36
1622035500000,36
1622035800000,36
1622036100000,36
1622036400000,36
1622036700000,36
1622037000000,36
1622037300000,36
1622037600000,36
1622037900000,36
1622038200000,36
1622038500000,36
1622038800000,36
1622039100000,36
1622039400000,36
1622039700000,36
1622040000000,36
1622040300000,36
1622040600000,36
1622040900000,36
1622041200000,36
1622041500000,36
1622041800000,36
1622042100000,36
1622042400000,36
1622042700000,36
1622043000000,36
1622043300000,36
1622043600000,36
1622043900000,36
1622044200000,36
1622044500000,36
1622044800000,36
1622045100000,36
1622045400000,36
1622045700000,36
1622046000000,36
1622046300000,36
1622046600000,36
1622046900000,36
1622047200000,36
1622047500000,36
1622047800000,36
1622048100000,36
1622048400000,36
1622048700000,36
1622049000000,36
1622049300000,36
1622049600000,36
1622049900000,36
1622050200000,36
1622050500000,36
1622050800000,36
1622051100000,36
1622051400000,36.5
1622051700000,36.5
1622052000000,36.5
1622052300000,36.5
1622052600000,36.5
1622052900000,36.5
1622053200000,36.5
1622053500000,36.5
1622053800000,36.5
1622054100000,36.5
1622054400000,36.5
1622054700000,36.5
1622055000000,36.5
1622055300000,36.5
1622055600000,36.5
1622055900000,36.5
1622056200000,36.5
1622056500000,36.5
1622056800000,36.5
1622057100000,37
1622057400000,37
1622057700000,37
1622058000000,37
1622058300000,37
1622058600000,37
1622058900000,37
1622059200000,37
1622059500000,37
1622059800000,37
1622060100000,37
1622060400000,37
1622060700000,37
1622061000000,37
1622061300000,37
1622061600000,37
1622061900000,37
1622062200000,37
1622062500000,37
1622062800000,37.5
1622063100000,37.5
1622063400000,37.5
1622063700000,37.5
1622064000000,37.5
1622064300000,37.5
1622064600000,37.5
1622064900000,37.5
1622065200000,37.5
1622065500000,37.5
1622065800000,37.5
1622066100000,37.5
1622066400000,37.5
1622066700000,37.5
1622067000000,37.5
1622067300000,37.5
1622067600000,37.5
1622067900000,37.5
1622068200000,37.5
1622068500000,37.5
1622068800000,37.5
1622069100000,37.5
1622069400000,37.5
1622069700000,37.5
1622070000000,37.5
1622070300000,37.5
1622070600000,37.5
1622070900000,37.5
1622071200000,37.5
1622071500000,37.5
1622071800000,37.5
1622072100000,37.5
1622072400000,37.5
1622072700000,37.5
1622073000000,37.5
1622073300000,37.5
1622073600000,37.5
1622073900000,37.5
1622074200000,37.5
1622074500000,37.5
1622074800000,37.5
1622075100000,37.5
1622075400000,37.5
1622075700000,37.5
1622076000000,37.5
1622076300000,37.5
1622076600000,37.5
1622076900000,37.5
1622077200000,37.5
1622077500000,37.5
1622077800000,37.5
1622078100000,37.5
1622078400000,37.5
1622078700000,37.5
1622079000000,37.5
1622079300000,37.5
1622079600000,37.5
1622079900000,37.5
1622080200000,37.5
1622080500000,37.5
1622080800000,37.5
1622081100000,37.5
1622081400000,37.5
1622081700000,37.5
1622082000000,37.5
1622082300000,38
1622082600000,38
1622082900000,38
1622083200000,38
1622083500000,38
1622083800000,38
1622084100000,38
1622084400000,37.5
1622084700000,37.5
1622085000000,37.5
1622085300000,37.5
1622085600000,37.5
1622085900000,37.5
1622086200000,37.5
1622086500000,37.5
1622086800000,38
1622087100000,38
1622087400000,38
1622087700000,38
1622088000000,38
1622088300000,38
1622088600000,38
1622088900000,38
1622089200000,38
1622089500000,38
1622089800000,38
1622090100000,38
1622090400000,38
1622090700000,38
1622091000000,38
1622091300000,38
1622091600000,38
1622091900000,37.5
1622092200000,37.5
1622092500000,37.5
1622092800000,37.5
1622093100000,37.5
1622093400000,37.5
1622093700000,37.5
1622094000000,37.5
1622094300000,37.5
1622094600000,37.5
1622094900000,37.5
1622095200000,37.5
1622095500000,37.5
1622095800000,37.5
1622096100000,37.5
1622096400000,37.5
1622096700000,37.5
1622097000000,37.5
1622097300000,37.5
1622097600000,37.5
1622097900000,37.5
1622098200000,37.5
1622098500000,37.5
1622098800000,37.5
1622099100000,37.5
1622099400000,37.5
1622099700000,37.5
1622100000000,37.5
1622100300000,37
1622100600000,37
1622100900000,37
1622101200000,37
1622101500000,37
1622101800000,37
1622102100000,37
1622102400000,37
1622102700000,37
1622103000000,37
1622103300000,37
1622103600000,37
1622103900000,37
1622104200000,37
1622104500000,37
1622104800000,37
1622105100000,37
1622105400000,37
1622105700000,37
1622106000000,37
1622106300000,37
1622106600000,37
1622106900000,37
1622107200000,37
1622107500000,37
1622107800000,37
1622108100000,37
1622108400000,37
1622108700000,37
1622109000000,37
1622109300000,37
1622109600000,37
1622109900000,37
1622110200000,37
1622110500000,37
1622110800000,37
1622111100000,37
1622111400000,37
1622111700000,37
1622112000000,37
1622112300000,37
1622112600000,37
1622112900000,37
1622113200000,37
1622113500000,37
1622113800000,37
1622114100000,37
1622114400000,37
1622114700000,37
1622115000000,37
1622115300000,37
1622115600000,37
1622115900000,37
1622116200000,37
1622116500000,37
1622116800000,37
1622117100000,37
1622117400000,37
1622117700000,37
1622118000000,37
1622118300000,37
1622118600000,37
1622118900000,37
1622119200000,37
1622119500000,37
1622119800000,37
1622120100000,37
1622120400000,37
1622120700000,37
1622121000000,37
1622121300000,37
1622121600000,37
1622121900000,37
1622122200000,37
1622122500000,37
1622122800000,37
1622123100000,37
1622123400000,37
1622123700000,37
1622124000000,37
1622124300000,37
1622124600000,37
1622124900000,37
1622125200000,37
1622125500000,37
1622125800000,37
1622126100000,37
1622126400000,37
1622126700000,37
1622127000000,37
1622127300000,37
1622127600000,37
1622127900000,37
1622128200000,37
1622128500000,37
1622128800000,37
1622129100000,37
1622129400000,37
1622129700000,37
1622130000000,37
1622130300000,37
1622130600000,37
1622130900000,37
1622131200000,37
1622131500000,37
1622131800000,37
1622132100000,37
1622132400000,37
1622132700000,37
1622133000000,37
1622133300000,37
1622133600000,37
1622133900000,37
1622134200000,37
1622134500000,37
1622134800000,37
1622135100000,37
1622135400000,37
1622135700000,37
1622136000000,37
1622136300000,37
1622136600000,37
1622136900000,37
1622137200000,37
1622137500000,37
1622137800000,37
1622138100000,37
1622138400000,37
1622138700000,37
1622139000000,37
1622139300000,37
1622139600000,37
1622139900000,37
1622140200000,37
1622140500000,37
1622140800000,37
1622141100000,37
1622141400000,37
1622141700000,37
1622142000000,37
1622142300000,37
1622142600000,37
1622142900000,37
1622143200000,37
1622143500000,37
1622143800000,37
1622144100000,37
1622144400000,37
1622144700000,37
1622145000000,37
1622145300000,37
1622145600000,37
1622145900000,37
1622146200000,37
1622146500000,37.5
1622146800000,37.5
1622147100000,37.5
1622147400000,37.5
1622147700000,37.5
1622148000000,37.5
1622148300000,37.5
1622148600000,37.5
1622148900000,37.5
1622149200000,37.5
1622149500000,37.5
1622149800000,37.5
1622150100000,37.5
1622150400000,37.5
1622150700000,37.5
1622151000000,37.5
1622151300000,37.5
1622151600000,37.5
1622151900000,38
1622152200000,38
1622152500000,38
1622152800000,38
1622153100000,38
1622153400000,38
1622153700000,38
1622154000000,38
1622154300000,38
1622154600000,38
1622154900000,38
1622155200000,38
1622155500000,38
1622155800000,38
1622156100000,38
1622156400000,38
1622156700000,38
1622157000000,38
1622157300000,38
1622157600000,38
1622157900000,38
1622158200000,38
1622158500000,38
1622158800000,38
1622159100000,38
1622159400000,38
1622159700000,38
1622160000000,38
1622160300000,38
1622160600000,38
1622160900000,38
1622161200000,38
1622161500000,38
1622161800000,38
1622162100000,38
1622162400000,38
1622162700000,38
1622163000000,38
1622163300000,38
1622163600000,38
1622163900000,38
1622164200000,38
1622164500000,38
1622164800000,38
1622165100000,38
1622165400000,38
1622165700000,38
1622166000000,38
1622166300000,38
1622166600000,38
1622166900000,38
1622167200000,38
1622167500000,38
1622167800000,38
1622168100000,38
1622168400000,38
1622168700000,38
1622169000000,38
1622169300000,38
1622169600000,38
1622169900000,38
1622170200000,38
1622170500000,38
1622170800000,38
1622171100000,38
1622171400000,38
1622171700000,38
